NAME,POS,TEAM,AGE,FP
Ivan Ivan,C,COL,23,-7.3
Michael Misa,C,S.J,18,-7.4
Frederick Gaudreau,C,SEA,32,-7.4
Liam Ohgren,LW,MIN,22,-7.5
Vladislav Kolyachonok,D,DAL,24,-7.7
Owen Pickering,D,PIT,22,-7.7
Matthew Poitras,C,BOS,22,-7.8
Jake Bean,D,CGY,27,-8
Philipp Kurashev,"C,RW",S.J,26,-8
Isac Lundestrom,C,CBJ,26,-8.1
Collin Graf,RW,S.J,23,-8.3
Isaiah George,D,NYI,22,-8.6
Rodrigo Abols,C,PHI,30,-8.6
Oliver Kapanen,C,MTL,22,-8.6
Landon Slaggert,LW,CHI,23,-8.6
Jake Christiansen,D,CBJ,26,-8.7
Kevin Korchinski,D,CHI,21,-8.8
Nick Leddy,D,S.J,35,-9
Aleksander Barkov,C,FLA,30,-13.4
