NAME,POS,TEAM,AGE,FP
Conor Garland,RW,VAN,30,3
Valeri Nichushkin,"LW,RW",COL,31,3
Brandon Montour,D,SEA,31,2.9
Jake Walman,D,EDM,30,2.9
Sergei Bobrovsky,G,FLA,36,2.9
Noah Dobson,D,MTL,26,2.8
Darcy Kuemper,G,L.A,35,2.8
Gabriel Landeskog,LW,COL,33,2.8
Trent Frederic,C,EDM,28,2.8
Jeremy Lauzon,D,VGK,28,2.7
Shayne Gostisbehere,D,CAR,32,2.7
Miro Heiskanen,D,DAL,26,2.7
Filip Gustavsson,G,MIN,27,2.7
Mark Stone,RW,VGK,33,2.7
Pavel Buchnevich,"C,LW,RW",STL,30,2.6
Morgan Rielly,D,TOR,32,2.5
Brandt Clarke,D,L.A,23,2.5
Ridly Greig,"C,RW",OTT,23,2.5
Sean Monahan,C,CBJ,31,2.5
Jack McBain,"C,LW",UTA,26,2.5
Jake McCabe,D,TOR,32,2.4
Devon Toews,D,COL,32,2.4
Gustav Forsling,D,FLA,29,2.4
Jared McCann,"C,LW",SEA,29,2.4
Elias Lindholm,C,BOS,31,2.4
Artturi Lehkonen,"LW,RW",COL,30,2.4
Jason Zucker,LW,BUF,34,2.4
Owen Tippett,"LW,RW",PHI,27,2.4
Anze Kopitar,C,L.A,38,2.3
Tyler Toffoli,"LW,RW",S.J,33,2.3
Dmitri Voronkov,LW,CBJ,25,2.3
John Carlson,D,WSH,36,2.2
Zeev Buium,D,MIN,20,2.2
Ivan Barbashev,LW,VGK,30,2.2
Noah Hanifin,D,VGK,29,2.1
Evgeni Malkin,"C,LW",PIT,39,2.1
Cutter Gauthier,LW,ANA,22,2.1
Stefan Noesen,LW,N.J,33,2.1
Connor McMichael,LW,WSH,25,2.1
Thomas Chabot,D,OTT,29,2
Mathieu Olivier,RW,CBJ,29,2
Adam Fantilli,C,CBJ,21,2
Evander Kane,LW,VAN,34,2
Stuart Skinner,G,EDM,26,1.9
Marco Kasper,"C,LW",DET,21,1.9
Vince Dunn,D,SEA,29,1.8
Brayden McNabb,D,VGK,35,1.8
