RANK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
29,Roman Josi,N,D,13,NSH,35,CA$9.1,5,0.1,2.6,0.3,51.6,22.6,, ,70,25.2,16,44,59,212,5,22,0,1,129,55,-2,35,2,0,0,0%,,,,,,,,,,
30,Mikhail Sergachev,N,D,14,UTA,27,CA$8.5,4.9,0.1,2.5,0.3,81.4,51.4,,+,74,24.7,11,45,56,134,3,26,0,0,137,76,0,41,2,0,0,0%,,,,,,,,,,
31,Aaron Ekblad,N,D,15,FLA,30,CA$6.1,4.8,0.1,2.5,0.4,120.7,89.7,, ,76,22.9,8,31,39,159,3,14,0,1,101,116,5,60,1,0,0,0%,,,,,,,,,,
32,John Tavares,N,C,9,TOR,35,CA$4.4,10.6,0.1,2.5,0.6,77.9,45.9,, ,80,18.4,36,40,76,239,12,24,0,0,44,106,6,40,5,820,578,59%,,,,,,,,,,
33,Jack Hughes,N,"C,LW",5,N.J,24,CA$8.0,10.5,0.1,2.3,0.3,17.6,-15.4,,+,75,20.9,35,55,90,299,9,32,1,2,35,17,6,20,6,256,437,37%,,,,,,,,,,
34,Jake Guentzel,N,LW,6,T.B,31,CA$9.0,10.4,0.1,2.2,0.2,32.3,-1.7,, ,79,20,37,43,80,228,11,24,1,1,47,42,9,32,6,115,166,41%,,,,,,,,,,
35,Andrei Svechnikov,N,"LW,RW",7,CAR,25,CA$7.8,10.4,0.1,2.2,0.3,104.4,69.4,,+ +,75,17.6,26,38,65,207,10,23,0,0,27,152,6,61,4,2,4,37%,,,,,,,,,,
36,Matt Boldy,N,"LW,RW",8,MIN,24,CA$7.0,10.4,0.1,2.2,0.3,34,-2,,+,81,20.6,32,46,78,273,8,23,0,0,59,52,3,49,5,60,67,47%,,,,,,,,,,
37,Jake Sanderson,N,D,16,OTT,23,CA$8.1,4.5,0.1,2.2,0.3,63,26,,+,81,25.2,11,42,53,194,4,22,0,2,163,53,1,23,2,0,0,34%,,,,,,,,,,
38,Jakob Chychrun,N,D,17,WSH,27,CA$9.0,4.5,0.1,2.2,0.2,66,28,, ,77,21.5,15,29,45,185,6,16,0,0,109,71,1,47,2,0,0,0%,,,,,,,,,,
39,Seth Jones,N,D,18,FLA,31,CA$7.0,4.5,0.1,2.1,0.3,91,52,,+,76,24.4,12,32,44,174,4,18,0,0,133,99,3,34,2,0,0,0%,,,,,,,,,,
40,Artemi Panarin,N,LW,9,NYR,34,CA$11.6,10.2,0.1,2,0.2,28.1,-11.9,, ,82,19.8,39,57,97,244,9,30,0,0,16,25,4,27,7,1,4,11%,,,,,,,,,,
