,,,,,PLAYER STATS,,,,,,,,,,,,,,,,
Player,Team,Age,Pos,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%
Jack Eichel,VGK,29,C,77.0300000000000000000000000,20.8887852808491000000000000,0.4162043425280600000000000,0.7294848316418630000000000,1.1456891741699200000000000,3.3474183091812400000000000,0.0913099738429756000000000,0.3674202940589660000000000,0.0084940509954604300000000,0.0246206835601084000000000,0.7801657888896130000000000,0.4277474244322620000000000,0.1010580173790020000000000,0.2228554307692370000000000,0.0707774030427961000000000,7.2417203362569300000000000,8.6612360717511200000000000,0.4553694388931550000000000
Jack Hughes,N.J,24,"C,LW",75.3300000000000000000000000,20.9438480004991000000000000,0.4476087731145620000000000,0.6927314627075240000000000,1.1403402358220900000000000,3.8724519290318300000000000,0.1114567387343220000000000,0.4048411458176910000000000,0.0114721999628275000000000,0.0221354300069654000000000,0.4706806178575160000000000,0.2248542848149020000000000,0.0814102207104156000000000,0.2640811713890430000000000,0.0702444151996851000000000,3.3972115541298900000000000,5.8044356001901100000000000,0.3691960251415380000000000
Sidney Crosby,PIT,38,C,81.6750000000000000000000000,20.5334635099085000000000000,0.4415999891969350000000000,0.6823618065331790000000000,1.1239617957301100000000000,2.9921344732547800000000000,0.1224924854307950000000000,0.2891257883936670000000000,0.0013522217415435200000000,0.0022486697512911600000000,0.5090749529630800000000000,0.9475359520211410000000000,-0.0421018596792652000000000,0.4425186892669500000000000,0.0495926117218583000000000,12.7880558840051000000000000,9.8632369430111800000000000,0.5645618544453570000000000
Mikko Rantanen,DAL,29,"LW,RW",81.7550000000000000000000000,20.9704382031250000000000000,0.4546911569827350000000000,0.6474706701907720000000000,1.1021618271735100000000000,2.8304052374033700000000000,0.1297324886858350000000000,0.3407067464806900000000000,0.0000989368330757296000000,0.0001645264655869120000000,0.5488398160388260000000000,0.6411417330300390000000000,0.0767971241998691000000000,0.6086042387201340000000000,0.0745723294572566000000000,1.9925231756395000000000000,1.8174177911117600000000000,0.5229800653154280000000000
Matthew Tkachuk,FLA,28,"LW,RW",50.0000000000000000000000000,18.7075468572023000000000000,0.3899257875371480000000000,0.7027225476793490000000000,1.0926483352165000000000000,3.2176573938875200000000000,0.1138589677000980000000000,0.3396255738479320000000000,0.0005035340929646150000000,0.0008181432231088960000000,0.3334258781984590000000000,1.5629996529559100000000000,0.1200287338675560000000000,0.7817177155652730000000000,0.0572975567434640000000000,0.0495404412137968000000000,0.1015820506851680000000000,0.3278164659097730000000000
Cale Makar,COL,27,D,78.7875000000000000000000000,25.7592495426829000000000000,0.3030178707686440000000000,0.7859921008209720000000000,1.0890099715896200000000000,2.9832955055852200000000000,0.1079118456560000000000000,0.4367287616143570000000000,0.0140043598984415000000000,0.0295879870141944000000000,1.6972918735102000000000000,0.6900861809369700000000000,0.1038115832392780000000000,0.3128622723477760000000000,0.0477558953712698000000000,0.0000000000000000000000000,0.0000000000000000000000000,0.0000000000000000000000000
William Nylander,TOR,29,"C,RW",82.0300000000000000000000000,19.5626694198933000000000000,0.5030549997203180000000000,0.5711273346988880000000000,1.0741823344192100000000000,3.3175792781102800000000000,0.1324220702499220000000000,0.3563613357494160000000000,0.0005499564390237590000000,0.0007575101948816650000000,0.3517674629221050000000000,0.2988677472657760000000000,0.0790638171767598000000000,0.3487144492854590000000000,0.0734102165738210000000000,0.7762957848422370000000000,0.8734083818474950000000000,0.4705666631126590000000000
Brayden Point,T.B,30,C,80.7000000000000000000000000,19.4546053932580000000000000,0.5363323172990380000000000,0.5261904732293840000000000,1.0625227905284200000000000,2.5866506876825400000000000,0.1850229893357780000000000,0.3532852103634150000000000,0.0001663070482076830000000,0.0002765593964672240000000,0.5582424073529520000000000,0.3715672572690960000000000,0.1007204700981130000000000,0.1785567721548660000000000,0.0902361833754434000000000,5.1251228832961700000000000,5.5441341927596200000000000,0.4803636135826270000000000
Kyle Connor,WPG,29,LW,79.6925000000000000000000000,20.5259758908537000000000000,0.4763043828317820000000000,0.5850559312585000000000000,1.0613603140902800000000000,3.2625555519543300000000000,0.0916665832359794000000000,0.3009474600796780000000000,0.0092241574733384400000000,0.0105035039846463000000000,0.5137317484640940000000000,0.3416826996201770000000000,0.0525873422635573000000000,0.2841814754361880000000000,0.0815740619760045000000000,0.0203301961868406000000000,0.0793655604602601000000000,0.2039223821612060000000000
Aleksander Barkov,FLA,30,C,1.0000000000000000000000000,20.0886561891666000000000000,0.3191297844502410000000000,0.7299014155996670000000000,1.0490312000499100000000000,2.4574221750421700000000000,0.0984071818467346000000000,0.3615214298447510000000000,0.0084966425944412600000000,0.0330938764054484000000000,0.7400183661924670000000000,1.2497669071079800000000000,0.1080073629793740000000000,0.2871954069200450000000000,0.0468944540666604000000000,8.8687016766544300000000000,6.8628285716988700000000000,0.5637532736259250000000000
