,,,,GOALIE STATS,,,,,,,
Player,Team,Age,Pos,GP,W,L,OTL,SO,SV,SV%,GA
Ivan Prosvetov,CGY,26,G,20.00000000000000000000,0.40800059492615600000,0.44399955380538300000,0.14799985126846100000,0.03929236744750840000,26.64891765556480000000,0.89789994017232400000,3.03024420121221000000
Spencer Knight,CHI,24,G,50.00000000000000000000,0.37915713344409400000,0.46563214991693000000,0.15521071663897700000,0.04960799937066180000,27.75358628707080000000,0.90554078028524700000,2.89504587980784000000
Arvid Soderblom,CHI,26,G,30.00000000000000000000,0.35772329902601000000,0.48170752573049300000,0.16056917524349800000,0.02935532655592670000,27.48815151885680000000,0.89688020558916200000,3.16048064802193000000
MacKenzie Blackwood,COL,28,G,56.00000000000000000000,0.60751320193279600000,0.29436509855040400000,0.09812169951680090000,0.06762573884976460000,26.13580621361790000000,0.90766003118122500000,2.65890250524555000000
Scott Wedgewood,COL,33,G,24.00000000000000000000,0.57445990443439200000,0.31915507167420600000,0.10638502389140200000,0.05559344555794320000,25.97810905382990000000,0.90218342916633300000,2.81659966503351000000
Jake Oettinger,DAL,26,G,60.00000000000000000000,0.59404904140329700000,0.30446321894752800000,0.10148773964917600000,0.06937146548002600000,26.36489687343880000000,0.90910554669720500000,2.63602273289612000000
Casey DeSmith,DAL,34,G,20.00000000000000000000,0.56442413625348500000,0.32668189780988600000,0.10889396593662900000,0.05449230883394600000,26.16988826733030000000,0.90238132523265800000,2.83103133900464000000
Cam Talbot,DET,38,G,38.00000000000000000000,0.45633176668370300000,0.40775117498722400000,0.13591705832907400000,0.05643167694053580000,26.90727695327180000000,0.90557587593786300000,2.80561367050412000000
John Gibson,DET,32,G,42.00000000000000000000,0.45875357920194500000,0.40593481559854000000,0.13531160519951400000,0.04999288058683750000,26.82288905872800000000,0.90273576537398700000,2.89000156504800000000
Stuart Skinner,EDM,26,G,50.00000000000000000000,0.62230332110934200000,0.28327250916799400000,0.09442416972266460000,0.06078172556264150000,25.86438159839940000000,0.90393866821035200000,2.74860123771112000000
Sergei Bobrovsky,FLA,36,G,55.00000000000000000000,0.54944421468906200000,0.33791683898320400000,0.11263894632773500000,0.07350253881910470000,25.76860453276090000000,0.90892994433004200000,2.58188022517556000000
Daniil Tarasov (G),FLA,26,G,25.00000000000000000000,0.53347748045038000000,0.34989188966221500000,0.11663062988740500000,0.05306396523830320000,25.50073331938200000000,0.89948138584273800000,2.84975143855435000000
Darcy Kuemper,L.A,35,G,52.00000000000000000000,0.53765969997260800000,0.34675522502054400000,0.11558507500684800000,0.07254703660990060000,26.15375606650880000000,0.90975411097563300000,2.59440318990956000000
Anton Forsberg,L.A,32,G,27.00000000000000000000,0.51254574535609600000,0.36559069098292800000,0.12186356366097600000,0.05109117654631890000,25.87255213382760000000,0.89997247834402400000,2.87560712259084000000
Filip Gustavsson,MIN,27,G,55.00000000000000000000,0.52769868204918200000,0.35422598846311500000,0.11807532948770500000,0.07379847761908650000,25.82772034353240000000,0.90924358096897900000,2.57800160394382000000
Sam Montembeault,MTL,28,G,58.00000000000000000000,0.52082415196252100000,0.35938188602811000000,0.11979396200937000000,0.05267881452668860000,27.21498942939840000000,0.90506087979384700000,2.85479928536450000000
